ID	SOUND_FROM	SOUND_TO	ENVIRONMENT_LEFT	ENVIRONMENT_RIGHT	NOTE	CLASS	JosserandSetID	BEFORE	AFTER	CORRELATES
A01	*a	ja	#	s		V		NA	NA	NA
A02	*a	e	NA	ja		V	Josserand068	NA	NA	NA
A03	*a	i	aj	NA		V	Josserand071	NA	NA	NA
A04	*a	e	NA	ʔje		V	Josserand066	NA	S05	NA
A05	*a	i	NA	ʔje		V	Josserand066	NA	S05	E01
A06	*a	e	eʔj			V	Josserand070			
A07	*a	i	eʔj			V	Josserand070			
A08	*a	o	aʔw	NA		V		NA	NA	W09
A09	*a	o	uʔw			V				
A10	*a	i	uʔw	NA		V		NA	NA	NA
A11	*a	o		ko		V	Josserand074			
A12	*a	o	kʷ	#		V				
D01	*ⁿd	ⁿdʒ	NA	i		C		NA	NA	NA
D02	*ⁿd	n	NA	itʃ{ĩ,ẽ}		C		NA	NA	NA
D03	*ⁿd	n		i,e		C				
D04	*ⁿd	n		a,ɨ,o,u		C				
D05	*ⁿd	ⁿdʒ	NA	ɨ		C		Y01; Y02	NA	NA
D06	*ⁿd	ⁿdz	NA	ɨ		C		Y01; Y02	NA	NA
D07	*ⁿd	ⁿdʲ	NA	ɨ		C		NA	Y01; Y02	NA
D08	*ⁿd	ⁿdʑ	NA	ɨ,e		C		Y01; Y02	NA	NA
D09	*ⁿd	ⁿdʒ		e		C		NA	NA	NA
D10	*ⁿd	ⁿdz	NA	e		C		NA	NA	NA
D11	*ⁿd	ⁿdʲ		a(<e)		C		E16	NA	NA
D12	*ⁿd	ⁿdzʲ	NA	e		C		NA	NA	NA
D13	*ⁿd	ⁿdʒ	ʔ	a(<e)#		C				
E01	*e	a	#j	tĩ,ni		V	Josserand084	NA	NA	NA
E02	*e	a	#j	tʃĩ		V	Josserand084	NA	NA	NA
E03	*e	i	NA	(ʔ)ji		V	Josserand086	NA	NA	A01; S08; T09
E04	*e	a	NA	ju		V	Josserand088	NA	NA	NA
E05	*e	a	NA	ʔju		V	Josserand088	NA	NA	NA
E06	*e	a	NA	jũ		V	Josserand089	NA	NA	NA
E07	*e	a	aʔj	NA		V		NA	NA	NA
E08	*e	i	aʔj	NA		V		NA	NA	NA
E09	*e	a	ej	je		V	Josserand085, Josserand087	NA	NA	NA
E10	*e	i	ej	je		V	Josserand085, Josserand087	NA	NA	NA
E11	*e	a	(e)	ʔ({e,ẽ})	e to a with only glottal stop (eʔe canon)	V	Josserand076, Josserand078	NA	NA	NA
E12	*e	o	joʔw	NA		V	Josserand083	NA	NA	NA
E13	*e	a	ow	NA		V	Josserand083	NA	NA	NA
E14	*e	a	oʔw	NA		V	Josserand083	NA	NA	NA
E15	*e	a	kʷ	ti		V	Josserand082	NA	NA	NA
E16	*e	a	tʃ	t{u,ũ}		V	Josserand079	NA	NA	NA
E17	*e	a	{i,u}t	NA		V	Josserand077	NA	T04; T11	NA
E18	*e	a	#utʃ	NA		V	Josserand080	NA	X13	NA
E19	*ẽ	a, ã	Cutʃ	ʔ#		V	Josserand081			
E20	*ẽ	a, ã	Citʃ	ʔ#		V	Josserand081			
E21	*e	a	on	NA		V	Josserand077	NA	N01	NA
E22	*e	a	ⁿd	(ʔ)#		V	Josserand076			
G01	*ʔ	ø	NA	#		S		NA	NA	NA
G02	*ʔ	ø	NA	w		S		NA	NA	NA
